,tweet
367,@she_whispers @MehboobaMufti @OmarAbdullah @sajadlone He was a minister in the same Govt that just collapsed
368,@SalmanNizami_ He was a minister in the govt .. and contested elections in 2002. No one said anything then !!!
369,@she_whispers @MehboobaMufti @OmarAbdullah @sajadlone Nothing. I am just asking why such fear of another party .
370,@sanjayuvacha No Sanjay a correction he was a candidate and Yasin malik was his agent
371,@shangpal @MehboobaMufti @OmarAbdullah @sajadlone Fair enough naeem sb. But even the rest is plain vanilla politics… https://t.co/zxR7MtCopb
372,Mehbooba Mufti warns of more Salahuddins in Kashmir if the PDP splits. I write in @htTweets on why her 1987 analogy… https://t.co/3W2flbHTNe
373,I argue that @MehboobaMufti &amp; @OmarAbdullah should welcome a third force led by @sajadlone in Kashmir. The state de… https://t.co/GlNg9eJGBx
374,@sameeryasir Though they have all said it about each other over the years
375,RT @SecKermani: Full answer of Nawaz Sharif to the question - is what’s happening in Pakistan now a de facto coup? Speaking from a lounge i…
376,@SushmaSwaraj @governorswaraj Happy anniversary to both of you best wishes
377,@kanishktharoor @ghoshworld Earlier tweet Dekho Kanishka ji
378,@theRealYLH @BBhuttoZardari They have worked together before when BB was alive and Musharrafs was President. Charter of democracy etc
379,@PawanDurani You're on the flight ?!
380,In India what you eat can get you murdered ( Beef); who you have sex can get you jailed (377) - nanny state where o… https://t.co/RlxWcrvkIZ
381,"RT @ANI: #WATCH Former Pakistani PM Nawaz Sharif speaks to the media at Abu Dhabi airport, says, ""I am coming back for the future generatio…"
382,@pcocomenon @washingtonpost Indeed
383,"RT @amufarrukh: This is what she is known for , she has the significance of her lucid writings and the amount of her efforts to deal with t…"
384,RT @GulBukhari: Mobile signal &amp; 4G connection gone in Lahore
385,@syrinje Thank you
386,RT @syrinje: Powerful piece by @bdutt in which she thunderstorms down on a spineless polity that refuses to live up to the promise of a dem…
387,@Mohansinha @rupasubramanya @ShashiTharoor @arunjaitley @milinddeora @washingtonpost piece makes both those points
388,@pbhushan1 many thanks Prashant
389,"RT @pbhushan1: Fine piece by @BDUTT on the shameful cowardise of most Indian politicians on the decriminalization of consensual gay sex, &amp;…"
390,Shameful cowardice of India's Politicians on Gay Rights. Apart from   exceptions- @ShashiTharoor @arunjaitley… https://t.co/vIIWRzWUDK
391,@Anokhaadmi wont it boomerang?
392,"RT @PadmaLakshmi: Read this now. @BDUTT shows that in order to call yourself a democracy, you have to act like one. Beautifully written pie…"
393,@PadmaLakshmi thank you Padma
394,@PawanDurani well Pawan  a day in the life of a journalist. Besides why take the prize away from someone else :-))… https://t.co/r2XdjpVLsw
395,Always thought my friends in media across the border were way braver than our own but the official gagging of the P… https://t.co/6n1RstrTXf
396,What is the point of our democracy if elected lawmakers (minus exceptions) wont grow a spine &amp; wont do their job- w… https://t.co/gOkqy646VY
397,@PawanDurani 😎
398,@PawanDurani @OmarAbdullah @Twitter Let me know the answer too 😎😍😘😅
399,"RT @SpandanTweets: If there's someone who can put the thoughts of Indian's(who uphold the basic human rights, ofcourse) on Article 377 in w…"
400,"RT @alok_pandey: Been watching all reports by @harsha_ndtv on the Alwar lynching , and must say there is no substitute for years of experie…"
401,"RT @ndtv: As the #NoConfidenceMotion debate continues, here's a comparison of voter support for government and opposition. 

Special covera…"
402,RT @soniandtv: Probably the first time Amartya Sen has been told he’s representing the ‘corrupt rich’ when he tells Rajiv Kumar of Niti Aay…
403,"RT @vishaldave77: This day last year i.e.19th July,2017 renowned Wildlife Expert Swati Thiyagarajan's book 'Born Wild' was launched. A Beau…"
404,"RT @sardesairajdeep: When a 80 year old saffron robed Hindu Arya Samaji Swami is attacked by the mob, then all you can ask: who is safe? An…"
405,RT @ShekharGupta: I do hope however that you are also distraught by this manhandling of Swami Agnivesh. Whatever our disagreements with him…
406,RT @CMNelsonPhoto: A fence can’t stop my two-year-old from playing with his new best friend. https://t.co/9QBuaq4Ee2
407,RT @IshtdeepSingh1: 'Good Morning India' on @ndtv is one of the best morning show available on Indian television. Provides complete dose of…
408,"RT @tavleen_singh: Sickening! Utterly, utterly sickening. https://t.co/iiuSfLqOAh"
409,Mandela. The greatest ... in the last 200 years ... after Gandhi.
410,RT @ProfVarshney: I am unable to watch India's news TV anymore. Most channels parrot the political establishment. But once in a while when…
411,RT @kaushikcbasu: Sad day for India. https://t.co/omKlkhCe3Z
412,https://t.co/Fqv7uT1JRn
413,"RT @umasudhir: For all of us who complain about time taken to reach school / college / office, traffic jam and the like, imagine if you had…"
414,RT @JohnnyAmitoj: The Djoker’s back! https://t.co/qASpByVg2U
415,Disgusting. https://t.co/RWFjjoQVUV
416,"RT @arvindsubraman: Does India already have a QUBI, quasi-universal basic income? How Telangana’s direct benefit transfer scheme with adapt…"
417,"RT @sardesairajdeep: For all his many great achievements , the one that stays with me is off the field: when Sunil Gavaskar stared down a m…"
418,RT @priyankachopra: Justice delayed but not denied... the Supreme Court of India sends out a strong signal to perpetrators of these heinous…
419,RT @sunetrac: New zealand’s top political reporter @katieabradford doubles up as @ndtv mojo journalist. Here interviewing Malaysia’s opposi…
420,RT @soniandtv: @anilvv @ndtv Thank you
421,RT @bhogleharsha: There is an inherent difference in TV revenues in England &amp; in India. Because of the huge under-declaration of cable hous…
422,RT @notesfrompoland: Dutch TV interviews Polish academic and former anti-communist activist Jerzy Targalski - but it's his cat that steals…
423,"I agree. He is a great, great human being. And a great leader. https://t.co/MION2TzE6W"
424,"RT @ReallySwara: Sir, let me get this right- u r honouring the due process of law by garlanding the accused and the convicted guilty. Again…"
425,"RT @SreenivasanJain: Rule of law? Sir, in the eyes of the law, these men are still convicts. And yet you garland them? Amazed. https://t.co…"
426,One headline I dislike - one which we have avoided for many years  - “India goes down fighting”.  You dislike it to… https://t.co/bdpDcVYNkl
427,RT @KenRoth: India will never achieve its economic potential with so few of its women in the workforce. https://t.co/T72lrxdgod https://t.c…
428,RT @KumarShiwang: @theblcksheep It was an investigative story she pointed out that to suggest that all deaths were not suicides.She was hig…
429,RT @BihariBritish: I am a bilingual. Enjoying the bilingual morning news show on @NDTV daily with @JohnnyAmitoj &amp; @anjileeistwal here at Pa…
430,"RT @sardesairajdeep: These are the ‘shits’ who exist in the world around us (sorry, don’t have w better word to describe them) it is our bo…"
431,"RT @sree: Remembering great journo Appan Menon, who died 22 yrs ago this week at just 48. Worked @ndtv “The World This Week” @DDNewsLive. H…"
432,RT @Abu_Sami68: Really love this @anjileeistwal &amp; @JohnnyAmitoj morning show. They even did the Colombian celebration this morning! Great d…
433,"RT @kaushikcbasu: Since so many people have asked me, what I can say is Arvind Subramaniam was a much-needed voice of reason and profession…"
434,RT @sunetrac: How is it that US CEOs from airbnb to all others are openly criticising Trump on child separation policy but our business lea…
435,"RT @Nidhi: Tonight at 9: as the opposition throws its weight behind @ArvindKejriwal in the battle with the Centre, the Congress goes on the…"
436,"RT @FridaGhitis: Under the orders of armed men, a mother pulls the shoestrings from her daughter's shoes before being dragged away from her…"
437,RT @imVkohli: Lot of people who don't have the courage to do something like this find it funny. Everything for people nowadays is meme cont…
438,RT @shivithukral: Saturday old book discoveries at home threw up this gem although I yearn for truly well written stories &amp; not shouting bo…
439,"RT @Nidhi: Shujaat and other journalists who face risks in Kashmir. For talking peace between India and Pakistan, he was called a “jihadi”…"
440,RT @Nidhi: Armchair patriots don’t know what it’s like for so many journalists reporting on the ground in Kashmir. The kind of pressures th…
441,RT @anandmahindra: Another #EverydayHero just like the Mumbai cop doing his duty in the rain...Let’s cheer each and every one we find... ht…
442,@manishanataraj 🙏🏽
443,RT @sardesairajdeep: A channel in TN runs a debate on Tuticorin; the TN Govt doesn’t like some of the remarks made by guests; uses its cont…
444,"RT @SwatiWild: My blog on #WorldOceansDay , https://t.co/FTlGeRlkOf @GargiRawat @anishandheria @prernabindra @deespeak @BittuSahgal @Pranno…"
445,RT @MallikaBG: Chardham road dumping zone straight into Alaknanda. https://t.co/aMyRlkwSXy
446,The “something” is Dhoni. Right? https://t.co/1QNBaXpwIQ
447,RT @washingtonpost: An Indian journalist has been trolled for years. Now U.N. experts say her life could be at risk. https://t.co/kEPjYCHbCF
448,"RT @ShoaibDaniyal: Yesterday, in West UP's Shamli district, 2 Jat farmers randomly broke into a two-minute speech about how excellent Ravis…"
449,"RT @Nidhi: From Rana Ayyub to Ravish Kumar, death threats against journalists get more brazen in India. The world is watching"
450,RT @JohnnyAmitoj: Bring on your death threats https://t.co/jT7BzgMBw4
451,RT @Suparna_Singh: 9.30 pm special show. Death threats to #RavishKumar for his outstanding journalism. Editors and reporters talk about  be…
452,"RT @Ram_Guha: Delighted and honoured that @guardian has chosen ""A Corner of a Foreign Field"" as one of the ten best cricket books ever writ…"
453,RT @UNHumanRights: UN experts call on the authorities in #India to act urgently to protect journalist @RanaAyyub who has received death thr…
454,RT @AzmiShabana: By far the best of the best.Salgirah mubarak @sardesairajdeep Jeete raho khush raho. Bahut saara pyar https://t.co/3mkR5lj…
455,RT @MamataOfficial: Well done @KKRiders Well done @iamsrk Shah Rukh Keep winning
456,RT @sagarikaghose: The shocking hounding of @RanaAyyub and so many women journalists in India these days #TrollSangh https://t.co/sayGymQfdW
457,RT @Suparna_Singh: What Congress-JD(S) mash-up means for 2019 explained in 10 points: https://t.co/x8v59z74ZE
458,"RT @Suparna_Singh: India For Sale? What Karnataka Has Flagged For Us- blog by election guru Dorab Sopariwala. 
https://t.co/KhHA0GVZVC"
459,RT @nramind: I greatly look forward to reading this book by Alan Rusbridger https://t.co/D5hMyVhOAA
460,"RT @SudheenKulkarni: On @ndtv debate on #Karnataka I said:

#SupremeCourt saved Indian democracy from a scandalous assault. But we cannot a…"
461,🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽 https://t.co/XHSfE91kmF
462,"RT @umasudhir: In exclusive interview to @ndtv aboard bus carrying #KarnatakaCongress MLAs to #Hyderabad, @DKShivakumar tells @ndtv #BJP is…"
463,RT @umasudhir: Have been tracking and driving with #Karnataka #CongressMLAs all the way from #EagletonResorts; right now about 120 km from…
464,Sinking into Authoritarianism https://t.co/tcmEqTPSec
465,"RT @_YogendraYadav: If you wish to distract your mind from the constitutional fraud being committed in Bangalore tonight, read this lovely…"
466,RT @derekobrienmp: #BestBengal https://t.co/fnoH2GTESF
467,"RT @JohnnyAmitoj: Is this what's happening?
Judiciary: Silent on Governor
Governor: Silent on Politicians
Politicians: Silently not followi…"
468,RT @LinahAlsaafin: The Onion is on a roll https://t.co/B6ci8loedZ
469,"RT @anniegowen: Dispatch from the land of fake news/hate news during India's ""WhatsApp First"" election, where phones freeze from a barrage…"
470,"Thank you once again from the bottom of my heart, Amitabh @srbachchan, for your commitment to #SwachhIndia and NDTV… https://t.co/7zmjuoVzRn"
471,Absolutely fully deserved Sunetra. NDTV is proud of your journalism. Honest and fearless. https://t.co/8pm9W04Xei
472,"RT @pressfreedom: #MostRead this week: People need to know why our journalists were arrested in #Myanmar, Reuters tells CPJ https://t.co/s7…"
473,"Thank you, Amitabh @srbacchan, for your commitment to #SwacchIndia and NDTV’s campaign - and for this blog on it. T… https://t.co/xxEN3Ctxd7"
474,RT @Suparna_Singh: Poll of exit polls - aggregate of all - at 6.30 pm on @ndtv with @SreenivasanJain   Watch on air or on our app #karnatak…
475,"I have always had immense respect for our Election Commission. It is India’s finest institution. Yet, today’s unpre… https://t.co/1EidrXJ7D8"
476,"RT @vikramchandra: Amitabh Bachchan Launches Season 5 Of Banega Swachh India
https://t.co/Pd2oAzonH0"
477,"RT @free_thinker: Journalist Ravish Kumar relentlessly targeted on social media via fake news

https://t.co/Iw0AEmLDJh"
478,Appeal to our viewers to help finance this child’s education  🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽 https://t.co/JoiQ2QHCsI
479,RT @ShekharGupta: Shocked at the harassment of @sardesairajdeep at a BLR restaurant. That the offender is a well-heeled techie reminds us d…
480,"RT @RanaAyyub: Last ten days have been a nightmare, a living hell. The support from various national &amp; international human rights, journali…"
481,RT @ShekharGupta: Look for Arun Shourie’s perfectly timed book on the judiciary: Anita Gets Bail. To be released in Delhi this eve by forme…
482,"RT @pressfreedom: ""Police in #NewDelhi need to take the online attacks and threats against Rana Ayyub seriously and take swift action to pr…"
483,RT @sagarikaghose: The world recognises talented Indians even as India shuns them: https://t.co/z4YNbp8Fo2
484,RT @menakadoshi: Interesting that FT lists Raghuram Rajan as a potential contender for the top job at Bank of England. https://t.co/dgbnigk…
485,RT @ShekharGupta: This so called beating retreat at Wagah isn’t just hateful but also a shameful insult to military tradition. Both countri…
486,"RT @Olacabs: @Abhishek_Mshra Ola, like our country, is a secular platform, and we don't discriminate our driver partners or customers basis…"
487,"RT @_YogendraYadav: Straight talk by Shekhar Gupta in this difficult time for the Indian media. 
Indian journalists face a brutal equation:…"
488,RT @SreenivasanJain: Congratulations @ShekharGupta and the new team. Much overdue strengthening of self regulatory media bodies. https://t.…
489,"RT @ShekharGupta: Indian journalists face a brutal equation: Fight together for your freedoms or perish #NationalInterest
 #NationalInteres…"
490,RT @Suparna_Singh: And it begins. The #NDTVTechConclave - watch live. All day on @ndtv and our app. With @vikramchandra and @RajivMakhni ht…
491,"RT @suhelseth: Will be speaking at this on Friday, April 13, 2018 in Delhi... @ndtv @PrannoyRoyNDTV @vikramchandra https://t.co/IDUlvrkvHj"
492,RT @TomZohar: Love spending a relaxing Sunday curled up with a good book as it sits next to me untouched while I scroll through twitter for…
493,"RT @SreenivasanJain: NDTV's @anuragdwary1's traces the deaths of those killed in India's day of dalit fury, to find most fatalities may hav…"
494,RT @ndtv: Want to work on elections with @PrannoyRoyNDTV? https://t.co/8a671zU9uq
495,RT @Suparna_Singh: The Samsung partnership  with @ndtv  for mobile journalism winds a Gold Abby + other awards 😃😃👏👏 https://t.co/fyXp5yYLRx
496,RT @Suparna_Singh: online as youngest and most democratic form of media must be allowed 1) the chance to self-regulate 2) fair representati…
497,"RT @DholRaj: @ndtv has some amazing ground reporters. @Sonal_MK @Monideepa62 and @umasudhir are my favourites. No hype, no hysteria...just…"
498,RT @ShekharGupta: Make no mistake: this is a breathtaking assault on mainstream media. It’s a moment like Rajiv Gandhi’s anti-defamation bi…
499,RT @TheEconomist: Democracy continues its disturbing retreat https://t.co/JfXCA5WQ29 https://t.co/ZfzyOBD02c
500,RT @free_thinker: Fervent appeals to trend #ReleaseMaheshHegde on BJP WhatsApp Groups in support of @postcard_news founder @mvmeet https://…
501,"RT @karunanundy: If you're at all concerned about  rule of law and the separation of powers, read Justice Chelameswar's letter calling for…"
502,RT @ShekharGupta: This seems unprecedented. UN Secretary General says he is “concerned” about death of two Indian journalists in Bihar &amp; MP…
503,"RT @saurabh_42: Best video of the whole Cameron Bancroft incident. Long and detailed, and it looks very damaging not just for Bancroft but…"
504,RT @divyanganasingh: On World TB Day let's pause to remember those who lost the battle to TB. 1300 continue to die everyday in India. It ca…
505,RT @Suparna_Singh: Real News Matters. This is third big award for @ndtv this year.  Nothing more rewarding than the continued trust of our…
506,RT @Shakir_qatar: @PrannoyRoyNDTV when all others channels are looking towards loose cannons of political parties for hot topics. SARAH JAC…
507,RT @AmritaCheemaTV: Trust is the most precious commodity in these uncertain times. Congratulations. https://t.co/BC6sfbjEdo
508,"RT @soniandtv: Been a good year so far,first  'Best Channel of the Year'  &amp; now this one 🙏 #TrustisEarned https://t.co/qPyyRZ9hIa"
509,Dinesh Karthik: one of the most amazing short and crucial innings I have seen. Topped by an exceptional finish. Mat… https://t.co/38wnCvqxR1
510,RT @bhogleharsha: Brilliant century from @ABdeVilliers17. And gets there with an upper cut! I don't think there is a cricket lover in the w…
511,"RT @Ravinder_IITD: IIT Delhi announced the setting up of its gender unit, IGES - Initiative for Gender Equity and Sensitization - on 8th Ma…"
512,"RT @Suparna_Singh: And @ndtv is most-read for news, once again. Thank you.  I’ll take this start to the week! https://t.co/QXSMwyNjQO"
513,RT @Nidhi: A big congratulations to my colleague @umasudhir for winning the prestigious Chameli Devi Jain award for her outstanding journal…
514,RT @ndtv: We at NDTV lost a dear colleague. Our thoughts and prayers are with his family https://t.co/sc6cT7OZtS
515,RT @sunetrac: She really is the best @Monideepa62 https://t.co/6MlJRzSILk
516,RT @drharshvardhan: Today is #WorldWildlifeDay - to celebrate &amp; raise awareness of world’s wild animals &amp; plants. This year’s theme is- #Bi…
517,RT @RNTata2000: Celebrating birthdate of founder Jamsetji Tata. His vision of industrial development &amp; giving back wealth to society has st…
518,"“In India, Narendra Modi’s government has launched a highly questionable fraud and money laundering case against ND… https://t.co/kJUPOxxIWD"
519,"RT @FareedZakaria: Institutions are collections of rules and norms agreed upon by human beings. If leaders attack, denigrate and abuse them…"
520,"RT @anniegowen: “Trump’s company is literally selling access to the president’s son overseas."" Trump Jr. heads to India, mixing business an…"
521,"RT @Ram_Guha: In such cases, the Court should impose fines on the petitioners for the harassment they cause to journalists, writers, artist…"
522,"RT @ndtv: India’s best English News Channel, NDTV 24x7, has a brand new primetime line-up, starting today

Watch live here https://t.co/hMl…"
523,One of my favourite sayings about people is this: He/She “has the CERTAINTY associated with MEDIOCRITY” ... would l… https://t.co/WYpYPgXhVz
524,"RT @jigneshmevani80: Is this a way to detain an elected MLA ? If a legislator is in this condition, then think about any dalit's situation…"
525,@Swamy39 LIAR SWAMY AT IT AGAIN.
526,RT @aljwhite: This is one of the most terrifying things I’ve seen in all my life https://t.co/Yp9xlhdKC9
527,"RT @ndtv: .@prannoyroyNDTV writes to @PMOIndia, warns malicious campaign by Subramanian Swamy against @ndtv will hurt India, freedom of pre…"
528,RT @Suparna_Singh: Read @PrannoyRoyNDTV letter to @PMOIndia here.  Sent today. https://t.co/7CmsznSfdG
529,"RT @36notout: During our playing days, fans were polarised into two factions - Team Gavaskar and Team Viswanath. But there was no doubt in…"
530,"RT @karunanundy: In complete solidarity with @sagarikaghose and @sardesairajdeep , the viciousness of many bhakts is unprecedented in India…"
531,"RT @abhisekghosh93: .”If you are not pro-government, you must be pro-Congress or Anti-National” @Nidhi discusses the role of Media in leadi…"
532,"RT @ndtv: NDTV 24X7 wins Best English News Channel at ENBA Awards  

#TrustIsEarned https://t.co/JFJw3qNMyE"
533,"RT @soniandtv: Just fantastic , Team TVH makes us all so proud once again 👏🏻👏🏻 @SreenivasanJain @manas_ndtv https://t.co/fZGvW67ruz"
534,"RT @SudheenKulkarni: 'PM #Modi Needs Education On #Patel, #Partition And #Kashmir'

My article on @ndtv.

I welcome #BJP and Sangh... https…"
535,RT @Suparna_Singh: NDTV Online now larger than WaPo and other top international sites. @NDTV = Real News. https://t.co/NE4IP90O1U
536,"RT @free_thinker: Prashant P. Umrao: Unmasking a one-man hate factory

https://t.co/y36C79aP97"
537,"RT @harsh_mander: You discover heroes. Yashpal's only son Ankit killed for loving Muslim girl. He still says, 'If I get justice, it’s good.…"
538,"RT @ashwinravi99: Public figures will endure hatred on social media, and there will be ppl who won't like me and criticise me, but one thin…"
539,Unbelievable 🙈 https://t.co/9TObhgGtVO
540,RT @AunindyoC: No.1 where it matters. https://t.co/guWr9D6LLr
541,"RT @Suparna_Singh: ""When you do something right, you don't have to be scared,"" says @deepikapadukone to my colleague @rohitkhilnani about #…"
542,"RT @Suparna_Singh: Dorab Sopariwala ends #budget18 coverage with @PrannoyRoyNDTV with this sobering point:  “without education and jobs, th…"
543,RT @CBhattacharji: How to help #BabyNirbhaya and her family. https://t.co/WS7fihfqO6
544,"RT @dhume: If you’re a @madhukishwar fan like me, you will appreciate this lovingly compiled collection of her greatest hits. v @samjawed65…"
545,RT @arvindsubraman: The dedicated web page for #economicsurvey18 is: https://t.co/NPqJ4cfR3Y. Contents and other details will be uploaded a…
546,"RT @arvindsubraman: It’s THAT time of the year. Coming Monday, January 29 afternoon, this year’s Economic Survey of India to be tabled in p…"
547,"RT @JohnnyAmitoj: Even as we wait for PM Modi at Davos, NDTV is ready for its curtain raiser show in the Davos Studio. The snow assisted by…"
548,"RT @kiranshaw: ""Darwin Wrong, Nobody Saw Ape Turn Into Human"": Junior Education Minister - this is not just an embarrassment but an insult…"
549,RT @TandonRaveena: https://t.co/cKIDdCHyUk
550,RT @ShekharGupta: EC’s move on AAP MLAs’ disqualification is inexplicable &amp; made in a haste bordering on the obscene. Even if it’s a gift t…
551,RT @Suparna_Singh: Let’s give them something to talk about 😜😜.  Latest numbers show @Gadgets360 killing it. With @duak @kawaljit https://t.…
552,RT @soniandtv: This tweet made my morning https://t.co/l24Cuin2Nf
553,RT @Suparna_Singh: Great way to end the day. https://t.co/ePDuotfo5I
554,RT @Suparna_Singh: https://t.co/mJWD9pc9h9
555,RT @soniandtv: Watch @umasudhir 's special half hour report &amp; The Game is Changing' in Tamil Nadu at 7:30 pm on NDTV https://t.co/C9WUIbbtfr
556,RT @JohnnyAmitoj: More than 35 people died. https://t.co/lBmHZaTkuU
557,"RT @SudheenKulkarni: Hindu society is highly plural. Our pluralism - and India's larger pluralism - is a source of strength, not weakness.…"
558,RT @anandmahindra: This is the India I can’t understand. The India of the new Rakshasas: ‘Trollakshasas’ An India that keeps dividing itsel…
559,"RT @NMenonRao: My interview with @sjacobtalk of NDTV. From diplomat to singer, building bridges through music. https://t.co/wks7EUfeqU"
560,RT @baxiabhishek: The #TrustIsEarned campaign by NDTV gives goosebumps... Exemplary showcases of journalism (a relic of the past?). Thank y…
561,RT @umasudhir: Breaking into a dance after @superstarrajini made his announcement of taking the plunge into politics ... Performer here is…
562,RT @Nidhi: The documentary shown in this clip from POK was runner up at the Asian TV awards. I was also blacklisted from Pakistan for many…
563,"RT @ndtv: Journalism in the line of fire: Reporting from inside PoK

#TrustIsEarned https://t.co/91aGMC9G3k"
564,"RT @ndtv: Journalism for social change: Our #NoVIP Campaign

#TrustIsEarned https://t.co/oE2T9kJzta"
565,"RT @ndtv: Journalism without fear: Reporting from ground zero 

#TrustIsEarned https://t.co/nzOcDH4FY6"
566,"RT @ndtv: Journalism without fear: Reporting from the frontline - our #HamasExpose

#TrustIsEarned https://t.co/1kMEqD0RBA"
567,RT @soniandtv: #TrustIsEarned https://t.co/gV00ctnuLX
568,RT @soniandtv: #TrustIsEarned https://t.co/r7ahZQdWpI
569,RT @JohnnyAmitoj: Goosebumps https://t.co/4wIqQq1iZG
570,RT @amitabhk87: Amazing! With 150 cr gigabytes per month of mobile data consumption India is now world’s no 1 mobile data consuming country…
571,"RT @ndtv: WATCH | The hype is over, reality is in our face, says Harish Salve on 2G verdict https://t.co/4mRGPBh9LS"
572,"RT @ndtv: Journalism in line of fire: Reporting from Panchkula - violence after Ram Rahim rape verdict

#TrustIsEarned https://t.co/73FklQQ…"
573,"RT @ndtv: Journalism for tomorrow: Working towards a greener future #Greenathon

#TrustIsEarned https://t.co/RGPoB3BJaR"
574,"RT @ndtv: Journalism in national interest: NDTV asks honest questions that reveal the truth #AgraTalks 

#TrustIsEarned https://t.co/0AovGu…"
575,"RT @ndtv: Journalism without fear: Reporting from ground zero
 
#TruthIsEarned https://t.co/TCYGuTR8Gs"
576,"RT @ndtv: Journalism for Tomorrow: NDTV's campaign to protect the future of our national animal - Save Our Tigers
 
#TrustIsEarned https://…"
577,"RT @soniandtv: A campaign for justice all of us are so proud of. Can't believe it's been nearly 2 decades (btw, I couldn't recognise myself…"
578,RT @dikshabasu: my father @kaushikcbasu has taught me not to praise a loved one in public but today everyone else did it for me (and I'm we…
579,"RT @Nidhi: As the Gujarat polls end,  a shout out to some of the finest reporters whose stories and tweets one followed for terrific insigh…"
580,"RT @Ram_Guha: Jawaharlal Nehru, 2 October 1951 (Gandhi Jayanti):  ""If any person raises his hand to strike down another on the ground of re…"
581,"RT @Culture_Express: I don't come here much, but such wonderful news must be shared! 👏👏👏

https://t.co/aEj2VAmB4k"
582,RT @sidpatankar: Getting ready! Big day! SVP #cnbawards #BIC https://t.co/NK3cmPcqkP
583,"RT @kaushikcbasu: India’s growth rate is now 6.3%. It had reached a rate of 9.5% from 2005 to 2008. Now with oil prices so low, the growth…"
584,RT @ndtv: Told PM Narendra Modi privately that country shouldn't be divided on religious lines: Barack Obama https://t.co/mTH9Ula4N2 https:…
585,"RT @elonmusk: This is nothing. In a few years, that bot will move so fast you’ll need a strobe light to see it. Sweet dreams… https://t.co/…"
586,RT @bhogleharsha: 300 wickets in 54 tests is a colossal achievement for @ashwinravi99. It makes him worthy of being called a modern great.
587,"RT @swatichopra1: In this excerpt from #ConflictsOfInterest, @sunitanar talks about how the battle for clean air in Delhi started in 1999 a…"
588,RT @kiranshaw: Tks for your kind words @SadhguruJV https://t.co/q3MmhuPbgN
589,"In Memory Of Narayan Rao, From All Of Us At NDTV  https://t.co/AJUx7YP0Ao"
590,"RT @sidpatankar: ""War"" against NDTV group motivated because of Gujarat 2002 riots coverage: Journalist N Ram https://t.co/TJsGOdnMqC"
591,"RT @CBhattacharji: ""no U.S. television news outlet has made a complete transition to smartphone newsgathering.... tipping point may have be…"
592,"RT @Sonal_MK: No NE, Don’t Worry! Sans editor, sans writer.... Woman power rocking back-to-back morning bulletins on NDTV24X7  #JournoDiari…"
593,"RT @soniandtv: If people can be arrested for Facebook posts,why not for openly threatening violence against Deepika Padukone &amp; Sanjay Leela…"
594,"RT @CatchNews: Ganesh Saili offers insights into the region, its history, the resilience and sheer simplicity of its people https://t.co/TE…"
595,RT @kiranshaw: @callingspadeasp @PrannoyRoyNDTV @arunjaitley when they say A/c don't u think ICUs n OTs need to be air conditioned?
596,RT @kiranshaw: Why were A/c hospitals not spared the 28% GST axe?  Shows how low priority healthcare is in our country @arunjaitley
597,RT @priyankachopra: Amazing news to wake up to! Congrats @mangtec!I know the struggles uve been through..I’m so so proud of you!India’s Dau…
598,"RT @Suparna_Singh: Strongest Q2 ever from @NDTV Convergence, record revenue streak continues https://t.co/okNxnkzRA4"
599,RT @ShekharGupta: Sharing in solidarity with @cartoonistbala arrested for this after a debt-ridden farmer burnt wife/kids/himself at Nellai…
600,"सुपर 30 मामले में आज दायर होगी जनहित याचिका, बिहार सरकार को भी बनाया पार्टी  https://t.co/tzxKKYupwQ"
601,"As Pakistan goes out to vote, a shout out for all brave journalists stood up against the oppressive army establishm… https://t.co/KllcxqO3sR"
602,"RT @IndiaToday: A poem in stone that once fulfilled an emperor's fantasy of love, glory &amp; magnificence is fighting a battle for survival in…"
603,It’s a wrap. #TrustedMediaSummit2018 google &amp; facebook come together to fight #fakenews #Verification https://t.co/UD2eHchsPx
604,"Three exposes that shook up three sessions of Parliament. Real reportage, real impact. None of India’s news factori… https://t.co/OSmCbEVBQq"
605,Each time I come to a google office I wonder how does any work ever get done here. Fab food at every corner. Spas.… https://t.co/RD5w0lfl8o
606,https://t.co/91zxUMWrQK
607,#Singapore #Factcheck #Conference Upskilling. Fighting fake news. #Google #Facebook Future of Journalism.… https://t.co/HlMZRklYdi
608,"गुस्से वाले हनुमान' के बाद अब 'दाढ़ी वाले राम'

https://t.co/4w0WDkurHr

@kunduchayan @aajtak"
609,"फैक्ट चेक: राफेल ‘सीक्रेसी पैक्ट’ पर कभी ये तो कभी वो

https://t.co/aXICSREesZ

@kunduchayan @aajtak"
610,I love stories where hope wins. A rag picker’s son in MP cracked the AIIMS test in his first attempt. @delayedjab r… https://t.co/7uYZW8B5MF
611,Pop quiz. Was @narendramodi able to defang @RahulGandhi attack?
612,For those wondering why @narendramodi is focusing so much on @INCIndia — @BJP4India hope is to turn 2019 into a con… https://t.co/RiwOnjijl9
613,Colleague @PoulomiMSaha reports TDP MPs are in the well of the house shouting “We want justice.” @ianuragthakur &amp;… https://t.co/HiSWI8CtcW
614,Now @ianuragthakur also also quotes @IndiaToday interview with @EmmanuelMacron Alleges @RahulGandhi lied to the nat… https://t.co/smvjH61CvQ
615,The hug was meant to be a political master stroke. Caught the PM off guard. A show of compassion towards an adversa… https://t.co/ACvX1Yw7CM
